2026-04-16 16:00:40,132 | INFO | app.main | request_id=0fae338d-8882-43aa-a7ab-4556c4e412dd | request_started method=POST path=/api/v1/chat
2026-04-16 16:00:40,134 | WARNING | app.main | request_id=0fae338d-8882-43aa-a7ab-4556c4e412dd | app_error path=/api/v1/chat code=llm_backend_unavailable message=LLM backend is unavailable
2026-04-16 16:00:40,134 | INFO | app.main | request_id=0fae338d-8882-43aa-a7ab-4556c4e412dd | request_finished method=POST path=/api/v1/chat duration_ms=2.63
2026-04-16 16:00:40,136 | INFO | httpx | request_id=- | HTTP Request: POST http://testserver/api/v1/chat "HTTP/1.1 503 Service Unavailable"
2026-04-16 16:03:06,203 | INFO | app.main | request_id=7874512e-89a8-4f38-b751-67d250dd2115 | request_started method=POST path=/api/v1/chat
2026-04-16 16:03:06,206 | WARNING | app.main | request_id=7874512e-89a8-4f38-b751-67d250dd2115 | app_error path=/api/v1/chat code=llm_backend_unavailable message=LLM backend is unavailable
2026-04-16 16:03:06,206 | INFO | app.main | request_id=7874512e-89a8-4f38-b751-67d250dd2115 | request_finished method=POST path=/api/v1/chat duration_ms=3.02
2026-04-16 16:03:06,207 | INFO | httpx | request_id=- | HTTP Request: POST http://testserver/api/v1/chat "HTTP/1.1 503 Service Unavailable"
2026-04-16 16:03:06,683 | WARNING | app.providers.llm.lmstudio | request_id=- | LM Studio connect failed: base_url=http://127.0.0.1:1234/v1 model=demo
2026-04-16 16:03:15,921 | INFO | app.main | request_id=eeb1ead9-599d-47cf-bd80-7999002561cb | request_started method=GET path=/docs
2026-04-16 16:03:15,922 | INFO | app.main | request_id=eeb1ead9-599d-47cf-bd80-7999002561cb | request_finished method=GET path=/docs duration_ms=1.28
2026-04-16 16:03:16,165 | INFO | app.main | request_id=59e7286d-6c1c-453c-8b7e-0daa9cbce91c | request_started method=GET path=/openapi.json
2026-04-16 16:03:16,194 | INFO | app.main | request_id=59e7286d-6c1c-453c-8b7e-0daa9cbce91c | request_finished method=GET path=/openapi.json duration_ms=27.53
2026-04-16 16:03:37,587 | INFO | app.main | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | request_started method=POST path=/api/v1/chat
2026-04-16 16:03:37,594 | INFO | app.orchestrator.core | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | orchestrator_handle_start request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 session_id=string route=general message_len=34 plan_steps=1
2026-04-16 16:03:37,594 | INFO | app.orchestrator.core | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | execution_step_start session_id=string index=1 kind=llm
2026-04-16 16:03:48,852 | INFO | httpx | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | HTTP Request: POST http://127.0.0.1:1234/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-16 16:03:48,856 | INFO | app.orchestrator.core | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | execution_step_done session_id=string index=1 kind=llm reply_len=257
2026-04-16 16:03:48,857 | INFO | app.orchestrator.core | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | memory_save_skipped session_id=string route=general
2026-04-16 16:03:48,857 | INFO | app.orchestrator.core | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | orchestrator_handle_done request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 session_id=string route=general execution_steps=2
2026-04-16 16:03:48,858 | INFO | app.main | request_id=90c7d7c5-7744-45df-b62c-1b4a95fa69d9 | request_finished method=POST path=/api/v1/chat duration_ms=11269.94
2026-04-16 16:04:13,689 | INFO | app.main | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | request_started method=POST path=/api/v1/chat
2026-04-16 16:04:13,692 | INFO | app.orchestrator.core | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | orchestrator_handle_start request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a session_id=string route=general message_len=22 plan_steps=1
2026-04-16 16:04:13,692 | INFO | app.orchestrator.core | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | execution_step_start session_id=string index=1 kind=llm
2026-04-16 16:04:17,500 | INFO | httpx | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | HTTP Request: POST http://127.0.0.1:1234/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-16 16:04:17,504 | INFO | app.orchestrator.core | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | execution_step_done session_id=string index=1 kind=llm reply_len=69
2026-04-16 16:04:17,505 | INFO | app.orchestrator.core | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | memory_save_skipped session_id=string route=general
2026-04-16 16:04:17,505 | INFO | app.orchestrator.core | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | orchestrator_handle_done request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a session_id=string route=general execution_steps=2
2026-04-16 16:04:17,506 | INFO | app.main | request_id=5f0f033a-25a5-4994-b7f6-fbc4aa37297a | request_finished method=POST path=/api/v1/chat duration_ms=3816.02
2026-04-16 16:05:25,671 | INFO | app.main | request_id=fa1cd852-0d7b-431d-8e44-aa92fc51b967 | request_started method=GET path=/docs
2026-04-16 16:05:25,671 | INFO | app.main | request_id=fa1cd852-0d7b-431d-8e44-aa92fc51b967 | request_finished method=GET path=/docs duration_ms=1.37
2026-04-16 16:05:25,840 | INFO | app.main | request_id=43acc53a-eaea-4256-8358-9eaa488a29cb | request_started method=GET path=/openapi.json
2026-04-16 16:05:25,860 | INFO | app.main | request_id=43acc53a-eaea-4256-8358-9eaa488a29cb | request_finished method=GET path=/openapi.json duration_ms=19.62
2026-04-16 16:05:36,363 | INFO | app.main | request_id=be95e457-a220-42bd-84b3-b78b0d4ec62d | request_started method=POST path=/api/v1/chat
